#           k/h    P           
   0.248990E+00   0.123275E+04
   0.254020E+00   0.119623E+04
   0.259152E+00   0.115550E+04
   0.264387E+00   0.111063E+04
   0.269728E+00   0.106270E+04
   0.275177E+00   0.101415E+04
   0.280736E+00   0.967546E+03
   0.286407E+00   0.924944E+03
   0.292193E+00   0.887699E+03
   0.298096E+00   0.855422E+03
   0.304118E+00   0.827074E+03
   0.310261E+00   0.800641E+03
   0.316529E+00   0.774161E+03
   0.322923E+00   0.746297E+03
   0.329447E+00   0.716462E+03
   0.336102E+00   0.685701E+03
   0.342892E+00   0.655345E+03
   0.349819E+00   0.626821E+03
   0.356885E+00   0.601039E+03
   0.364095E+00   0.577899E+03
   0.371450E+00   0.556834E+03
   0.378954E+00   0.536575E+03
   0.386609E+00   0.516165E+03
   0.394419E+00   0.495321E+03
   0.402387E+00   0.474247E+03
   0.410516E+00   0.453804E+03
   0.418809E+00   0.434623E+03
   0.427269E+00   0.416935E+03
   0.435901E+00   0.400569E+03
   0.444706E+00   0.384866E+03
   0.453690E+00   0.369395E+03
   0.462855E+00   0.354035E+03
   0.472206E+00   0.338943E+03
   0.481745E+00   0.324537E+03
   0.491477E+00   0.310988E+03
   0.501405E+00   0.298209E+03
   0.511534E+00   0.286004E+03
   0.521868E+00   0.274109E+03
   0.532411E+00   0.262489E+03
   0.543166E+00   0.251292E+03
   0.554139E+00   0.240603E+03
   0.565333E+00   0.230449E+03
   0.576753E+00   0.220752E+03
   0.588404E+00   0.211380E+03
   0.600291E+00   0.202321E+03
   0.612418E+00   0.193630E+03
   0.624789E+00   0.185309E+03
   0.637411E+00   0.177334E+03
   0.650288E+00   0.169687E+03
   0.663424E+00   0.162355E+03
   0.676826E+00   0.155325E+03
   0.690499E+00   0.148586E+03
   0.704448E+00   0.142126E+03
   0.718679E+00   0.135933E+03
   0.733197E+00   0.129997E+03
   0.748009E+00   0.124309E+03
   0.763119E+00   0.118857E+03
   0.778536E+00   0.113633E+03
   0.794263E+00   0.108628E+03
   0.810308E+00   0.103832E+03
   0.826677E+00   0.992380E+02
   0.843378E+00   0.948380E+02
   0.860415E+00   0.906242E+02
   0.877797E+00   0.865894E+02
   0.895529E+00   0.827264E+02
   0.913620E+00   0.790285E+02
   0.932076E+00   0.754890E+02
   0.950906E+00   0.721016E+02
   0.970115E+00   0.688603E+02
   0.989713E+00   0.657590E+02
   0.100971E+01   0.627920E+02
   0.103010E+01   0.599539E+02
   0.105091E+01   0.572393E+02
   0.107214E+01   0.546431E+02
   0.109380E+01   0.521603E+02
   0.111590E+01   0.497863E+02
   0.113844E+01   0.475165E+02
   0.116144E+01   0.453465E+02
   0.118490E+01   0.432721E+02
   0.120884E+01   0.412894E+02
   0.123326E+01   0.393943E+02
   0.125817E+01   0.375833E+02
   0.128359E+01   0.358528E+02
   0.130952E+01   0.341993E+02
   0.133597E+01   0.326196E+02
   0.136296E+01   0.311106E+02
   0.139049E+01   0.296691E+02
   0.141858E+01   0.282923E+02
   0.144724E+01   0.269774E+02
   0.147648E+01   0.257218E+02
   0.150630E+01   0.245229E+02
   0.153673E+01   0.233781E+02
   0.156778E+01   0.222853E+02
   0.159945E+01   0.212421E+02
   0.163176E+01   0.202463E+02
   0.166472E+01   0.192958E+02
   0.169835E+01   0.183887E+02
   0.173266E+01   0.175231E+02
   0.176766E+01   0.166971E+02
   0.180337E+01   0.159090E+02
   0.183980E+01   0.151571E+02
   0.187697E+01   0.144398E+02
   0.191489E+01   0.137556E+02
   0.195357E+01   0.131029E+02
   0.199304E+01   0.124804E+02
   0.203330E+01   0.118867E+02
   0.207437E+01   0.113206E+02
   0.211628E+01   0.107807E+02
   0.215903E+01   0.102660E+02
   0.220265E+01   0.977528E+01
   0.224714E+01   0.930743E+01
   0.229254E+01   0.886145E+01
   0.233885E+01   0.843633E+01
