#           k/h    P           
   0.950906E+00   0.745812E+02
   0.970115E+00   0.712467E+02
   0.989713E+00   0.680552E+02
   0.100971E+01   0.650010E+02
   0.103010E+01   0.620782E+02
   0.105091E+01   0.592817E+02
   0.107214E+01   0.566061E+02
   0.109380E+01   0.540467E+02
   0.111590E+01   0.515985E+02
   0.113844E+01   0.492571E+02
   0.116144E+01   0.470180E+02
   0.118490E+01   0.448771E+02
   0.120884E+01   0.428301E+02
   0.123326E+01   0.408733E+02
   0.125817E+01   0.390027E+02
   0.128359E+01   0.372149E+02
   0.130952E+01   0.355064E+02
   0.133597E+01   0.338737E+02
   0.136296E+01   0.323136E+02
   0.139049E+01   0.308230E+02
   0.141858E+01   0.293991E+02
   0.144724E+01   0.280388E+02
   0.147648E+01   0.267395E+02
   0.150630E+01   0.254986E+02
   0.153673E+01   0.243135E+02
   0.156778E+01   0.231819E+02
   0.159945E+01   0.221013E+02
   0.163176E+01   0.210697E+02
   0.166472E+01   0.200848E+02
   0.169835E+01   0.191446E+02
   0.173266E+01   0.182471E+02
   0.176766E+01   0.173906E+02
   0.180337E+01   0.165732E+02
   0.183980E+01   0.157931E+02
   0.187697E+01   0.150487E+02
   0.191489E+01   0.143385E+02
   0.195357E+01   0.136609E+02
   0.199304E+01   0.130146E+02
   0.203330E+01   0.123980E+02
   0.207437E+01   0.118098E+02
   0.211628E+01   0.112489E+02
   0.215903E+01   0.107140E+02
   0.220265E+01   0.102038E+02
   0.224714E+01   0.971739E+01
   0.229254E+01   0.925358E+01
   0.233885E+01   0.881138E+01
   0.238610E+01   0.838982E+01
   0.243430E+01   0.798795E+01
   0.248348E+01   0.760489E+01
   0.253365E+01   0.723978E+01
   0.258483E+01   0.689181E+01
   0.263704E+01   0.656018E+01
   0.269032E+01   0.624416E+01
   0.274466E+01   0.594304E+01
   0.280011E+01   0.565612E+01
   0.285668E+01   0.538276E+01
   0.291439E+01   0.512233E+01
   0.297326E+01   0.487423E+01
   0.303332E+01   0.463791E+01
   0.309460E+01   0.441281E+01
   0.315712E+01   0.419841E+01
   0.322090E+01   0.399422E+01
   0.328596E+01   0.379976E+01
   0.335234E+01   0.361459E+01
   0.342006E+01   0.343826E+01
   0.348916E+01   0.327037E+01
   0.355964E+01   0.311053E+01
   0.363155E+01   0.295834E+01
   0.370491E+01   0.281347E+01
   0.377976E+01   0.267556E+01
   0.385611E+01   0.254428E+01
   0.393401E+01   0.241933E+01
   0.401348E+01   0.230040E+01
